Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2019-10-12,Generic,Cardio,275.0,30,,,,,
2019-10-13,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-13,Running,Cardio,507.0,38,,,,,
2019-10-14,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-14,Running,Cardio,471.0,35,,,,,
2019-10-15,Generic,Cardio,369.0,40,,,,,
2019-10-16,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-16,Running,Cardio,505.0,37,,,,,
2019-10-17,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-17,Running,Cardio,394.0,29,,,,,
2019-10-18,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-18,Running,Cardio,478.0,36,,,,,
2019-10-19,Generic,Cardio,363.0,40,,,,,
2019-10-20,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-20,Running,Cardio,532.0,37,,,,,
2019-10-21,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-21,Running,Cardio,534.0,38,,,,,
2019-10-23,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-24,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-24,Running,Cardio,499.0,39,,,,,
2019-10-25,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-25,Running,Cardio,462.0,35,,,,,
2019-10-31,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-10-31,Running,Cardio,350.0,29,,,,,
2019-11-01,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-01,Running,Cardio,465.0,36,,,,,
2019-11-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-04,Running,Cardio,522.0,43,,,,,
2019-11-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-05,Running,Cardio,324.0,87,,,,,
2019-11-06,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-06,Running,Cardio,545.0,44,,,,,
2019-11-08,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-08,Running,Cardio,539.0,41,,,,,
2019-11-09,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-09,Running,Cardio,479.0,38,,,,,
2019-11-11,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-11,Running,Cardio,443.0,36,,,,,
2019-11-12,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-12,Running,Cardio,425.0,33,,,,,
2019-11-14,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-14,Running,Cardio,430.0,34,,,,,
2019-11-15,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-15,Running,Cardio,348.0,27,,,,,
2019-11-19,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-19,Running,Cardio,419.0,32,,,,,
2019-11-20,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-20,Running,Cardio,572.0,42,,,,,
2019-11-21,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-21,Running,Cardio,3921.0,1514,,,,,
2019-11-22,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-22,Running,Cardio,406.0,30,,,,,
2019-11-26,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-26,Running,Cardio,453.0,34,,,,,
2019-11-27,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-11-27,Running,Cardio,411.0,31,,,,,
2019-12-03,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2019-12-03,Running,Cardio,421.0,32,,,,,
