Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2015-05-19,Breakfast,,547.9,38.1,6.6,6.5,14.0,0.0,0.0,2824.5,732.1,24.2,8.1,11.1,25.8,278.8,185.8,5.3,7.8,
2015-05-19,Dinner,,663.4,40.7,23.4,2.0,12.3,0.0,83.1,606.2,897.9,26.9,11.2,6.9,52.3,128.1,347.9,70.2,15.4,
2015-05-19,Lunch,,27.0,1.6,1.0,0.0,0.0,0.0,0.0,24.0,0.0,1.9,0.0,0.0,1.3,0.0,0.0,6.0,0.0,
2015-05-20,Breakfast,,524.2,31.6,6.0,3.7,18.8,0.0,423.0,2308.1,1155.8,33.7,13.8,15.6,22.7,194.6,599.8,20.0,33.7,
2019-09-27,Lunch,,688.8,25.8,16.3,0.0,0.0,0.0,0.0,1.7,0.0,86.8,5.0,8.0,30.2,0.0,0.0,0.0,0.0,
2020-03-12,Breakfast,,530.7,40.6,11.7,3.8,23.7,0.0,34.0,297.5,0.3,30.4,4.6,0.4,12.6,1.9,0.0,6.8,4.5,
2020-03-16,Breakfast,,402.0,12.9,2.4,7.3,2.7,0.0,0.0,570.0,441.0,44.6,7.1,0.9,29.6,100.0,387.0,125.0,280.0,
2020-03-16,Dinner,,456.0,26.8,12.7,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,
2020-03-16,Lunch,,402.0,12.9,2.4,7.3,2.7,0.0,0.0,570.0,441.0,44.6,7.1,0.9,29.6,100.0,387.0,125.0,280.0,
2020-03-16,Snacks,,1066.0,36.0,15.0,0.0,0.0,0.0,0.0,3300.0,0.0,94.1,5.1,12.0,42.0,0.0,0.0,0.0,0.0,
2020-03-17,Breakfast,,1086.0,45.0,8.7,0.0,0.0,2.5,55.0,1177.4,0.0,130.2,1.2,52.9,38.3,0.0,45.0,2.0,4.0,
2020-03-17,Dinner,,658.0,38.2,4.0,0.0,0.0,0.0,0.0,800.0,0.0,58.4,9.6,9.2,9.0,0.0,0.0,0.0,0.0,
2020-03-17,Lunch,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-18,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-18,Dinner,,849.0,26.2,4.2,6.0,2.0,0.0,0.0,556.0,0.0,81.9,5.6,5.5,27.2,30.0,39.0,2.0,3.0,
2020-03-18,Lunch,,402.0,12.9,2.4,7.3,2.7,0.0,0.0,570.0,441.0,44.6,7.1,0.9,29.6,100.0,387.0,125.0,280.0,
2020-03-19,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-19,Dinner,,971.0,21.6,7.2,2.7,10.5,0.0,0.0,1289.5,1284.0,139.5,16.8,7.9,28.4,0.0,45.0,2.0,46.0,
2020-03-19,Lunch,,402.0,12.9,2.4,7.3,2.7,0.0,0.0,570.0,441.0,44.6,7.1,0.9,29.6,100.0,387.0,125.0,280.0,
2020-03-20,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-20,Dinner,,772.0,31.5,3.4,0.0,0.0,0.0,0.0,686.0,0.0,91.7,7.5,1.3,22.2,0.0,0.0,0.0,0.0,
2020-03-20,Lunch,,400.0,13.1,2.4,7.6,2.6,0.0,0.0,271.3,440.0,44.4,7.0,0.9,29.7,20.0,75.0,24.2,58.0,
2020-03-20,Snacks,,1252.0,104.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,31.4,13.6,9.0,54.2,0.0,0.0,0.0,0.0,
2020-03-21,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-21,Dinner,,556.0,19.6,0.7,0.0,0.0,0.0,0.0,670.0,0.0,65.2,5.3,0.6,33.5,0.0,0.0,0.0,0.0,
2020-03-21,Lunch,,200.0,6.5,1.3,3.5,1.3,0.1,0.1,0.0,0.0,22.5,4.0,0.5,14.5,0.0,0.0,0.0,0.0,
2020-03-21,Snacks,,993.0,60.9,21.1,0.8,11.8,0.2,0.0,273.1,0.0,101.1,2.6,45.8,9.4,0.0,0.0,0.0,0.0,
2020-03-22,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-22,Dinner,,2216.0,11.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0,56.2,3.5,29.7,5.0,0.0,0.0,0.0,0.0,
2020-03-22,Lunch,,446.7,13.1,1.5,0.6,0.3,0.0,0.0,141.0,93.0,67.8,4.3,1.6,12.8,0.0,0.0,1.5,13.5,
2020-03-23,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-23,Dinner,,1177.7,74.6,16.1,9.0,32.7,0.0,0.0,0.9,296.3,15.2,3.3,14.4,36.2,20.0,20.0,47.3,20.2,
2020-03-23,Snacks,,290.0,9.7,1.6,2.0,3.5,0.0,0.0,90.0,460.0,28.6,1.0,11.1,6.7,0.0,0.0,45.0,1.0,
2020-03-24,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-24,Dinner,,856.0,33.8,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,87.0,2.8,3.3,47.3,853.5,1318.5,81.0,100.5,
2020-03-24,Lunch,,177.0,3.4,2.1,0.1,0.0,0.0,0.0,181.2,422.4,39.0,3.1,20.4,1.3,3.5,10.3,5.9,4.3,
2020-03-24,Snacks,,637.0,29.5,8.1,0.0,0.0,0.0,0.0,750.0,0.0,44.4,8.7,12.1,36.4,0.0,0.0,75.0,24.0,
2020-03-25,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-25,Dinner,,974.5,34.7,13.2,0.0,0.0,0.0,90.0,591.5,2389.0,135.2,16.9,6.8,34.7,20.0,25.0,50.0,37.0,
2020-03-25,Snacks,,583.0,42.0,7.5,0.0,0.0,0.0,0.0,255.0,540.0,52.0,3.0,3.0,15.0,0.0,0.0,6.0,30.0,
2020-03-26,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-26,Dinner,,1476.0,72.1,2.4,6.0,2.0,0.0,0.0,1586.0,2140.5,172.5,5.8,2.7,32.8,20.0,20.0,47.0,20.0,
2020-03-26,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-03-27,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-27,Dinner,,1220.0,53.0,21.4,3.9,19.2,0.0,45.0,3411.0,1104.0,189.8,20.7,35.7,27.0,18.0,45.0,6.0,33.0,
2020-03-27,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-03-28,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-28,Dinner,,1249.2,73.7,7.4,0.0,0.0,0.0,0.0,1657.5,0.0,57.8,11.7,16.4,11.7,10.9,0.0,0.0,76.5,
2020-03-28,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-03-28,Snacks,,259.0,16.2,9.2,2.0,3.5,0.0,0.0,90.0,460.0,25.0,1.0,7.5,2.9,0.0,0.0,0.0,1.0,
2020-03-29,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-29,Dinner,,1265.2,2.2,0.3,0.9,0.5,0.0,0.0,1.5,318.3,30.6,3.5,6.6,5.0,19.0,8.0,4.4,0.7,
2020-03-29,Lunch,,482.0,38.0,11.1,5.3,17.6,0.0,0.0,3120.0,0.0,31.6,4.6,0.1,11.2,0.0,0.0,0.0,0.0,
2020-03-29,Snacks,,1107.4,67.0,4.6,2.0,12.5,0.0,0.0,2080.6,1094.9,89.6,4.2,16.4,22.6,0.0,0.0,45.0,1.0,
2020-03-30,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-30,Dinner,,1034.5,24.5,5.7,3.4,10.5,0.0,0.0,2444.9,913.4,171.5,23.3,14.8,39.0,9.2,61.2,15.3,44.1,
2020-03-30,Snacks,,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-31,Breakfast,,536.0,20.2,2.3,7.8,2.4,0.0,0.0,700.0,700.0,60.1,9.1,1.1,30.7,23.0,75.0,33.0,58.0,
2020-03-31,Dinner,,1305.0,40.5,6.8,0.0,0.0,0.0,0.0,340.0,0.0,184.0,6.0,37.0,35.0,0.0,8.0,0.0,34.0,
2020-03-31,Lunch,,400.0,13.1,2.4,7.6,2.6,0.0,0.0,271.3,440.0,44.4,7.0,0.9,29.7,20.0,75.0,24.2,58.0,
2020-04-01,Breakfast,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-01,Dinner,,839.0,55.5,3.9,6.0,2.0,0.0,0.0,726.0,0.0,57.8,2.5,5.9,24.5,0.0,45.0,2.0,4.0,
2020-04-01,Snacks,,1011.4,41.2,16.9,5.3,5.6,0.0,0.0,1122.8,150.0,75.1,8.7,14.0,28.9,0.0,0.0,0.0,20.0,
2020-04-02,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-02,Dinner,,702.0,19.1,11.1,0.2,2.4,0.0,0.0,200.9,1500.0,93.2,5.5,11.5,39.0,0.0,0.0,0.0,1.9,
2020-04-02,Lunch,,392.0,12.3,4.5,3.1,1.6,0.0,0.0,675.0,150.0,31.2,3.0,6.0,3.9,9.0,0.0,6.0,3.0,
