date,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Steps,Notes,Link,weight
2016-10-27,349,3.86905609728,1691,7.284272349479042,3.416317456056629,8.236896180479999,4442.0,,http://www.mapmyfitness.com/workout/1837545095,79.3811410459588
2016-10-29,357,4.0739094950400006,826,3.379234023303905,2.3111528672552293,17.7555704832,2394.0,,http://www.mapmyfitness.com/workout/1855748714,79.37321711568939
2016-11-11,56,59.85761886720001,130,0.0361970467469975,0.1117747355444205,1657.59213312,6466.0,,http://www.mapmyfitness.com/workout/1882720331,79.3217115689382
2016-11-24,522,5.81114806272,1711,4.907229280998966,0.9277382585699514,12.22684619904,4690.0,,http://www.mapmyfitness.com/workout/1882757897,79.27020602218701
2019-03-28,329,3.79061667072,1702,7.4834218165911075,3.388921200190885,8.017735714559999,4460.0,,http://www.mapmyfitness.com/workout/3451593310,75.88668779714739
2019-04-05,302,3.6841263782400007,1672,7.56401366022429,1.1930513302314485,7.93231173504,4378.0,,http://www.mapmyfitness.com/workout/3466849531,75.85499207606973
2019-09-19,310,3.53209165056,1557,7.346906565656566,4.672730006760519,8.166680501759998,4087.0,OK not hot,http://www.mapmyfitness.com/workout/3800745034,75.19334389857369
2019-09-20,336,4.04302618368,1930,7.956098882526048,4.190738586653941,7.541402077439999,5032.0,,http://www.mapmyfitness.com/workout/3804569587,75.18938193343898
2019-09-21,566,6.278887802880001,2702,7.172176986399427,4.567382734828601,8.365659793919999,7108.0,"Hard on way back, maybe let's do smaller first",http://www.mapmyfitness.com/workout/3804631027,75.18541996830427
2019-09-22,300,3.63182269824,1753,8.044644277419868,4.375080778254991,7.458408207359999,4566.0,Hungover but glad I did it,http://www.mapmyfitness.com/workout/3806509009,75.18145800316957
2019-09-23,539,5.97612191616,2570,7.1673924282192,4.901077706195816,8.37122812416,6761.0,"Very good run, overate last night bit that seemed to give me more energy today",http://www.mapmyfitness.com/workout/3809044282,75.17749603803486
2019-09-24,318,3.62965008384,1604,7.365237015827566,3.7767313886900498,8.14635448704,4210.0,Wet af,http://www.mapmyfitness.com/workout/3810288664,75.17353407290015
2019-09-25,553,6.176034627840001,2673,7.213373896444763,4.349722619899786,8.317894463999998,7028.0,"Not bad, had a few problems with headphones at first, plus it's difficult to run on seafront towards town in heavy wind.",http://www.mapmyfitness.com/workout/3812648710,75.16957210776545
2019-09-26,361,4.064961542400001,1687,6.916855563509107,4.55494288356001,8.674476814079998,4453.0,,http://www.mapmyfitness.com/workout/3814352878,75.16561014263074
2019-09-27,582,6.576793470720001,2710,6.867580827964686,3.4025602978604943,8.73671014656,7158.0,"Very good, pretty hard but I think I did well. Seafront was flooded so had to turn back and go over.",http://www.mapmyfitness.com/workout/3816338449,75.16164817749603
2019-09-29,519,5.99678589312,2332,6.481212220631512,4.182455708661418,9.25747777152,6194.0,"Over indulged last night, so good run today, good pace. Defo my fastest 6k.",http://www.mapmyfitness.com/workout/3820409578,75.15372424722662
2019-09-30,508,5.9549590425600005,2241,6.272058677324425,4.382910055277181,9.56619823104,5972.0,"Hard, I addict ate last night, and was sweating balls today",http://www.mapmyfitness.com/workout/3821836537,75.14976228209191
2019-10-01,351,4.05454908672,1586,6.519426548954108,3.900931062594448,9.20325897216,4210.0,Found it quite a struggle strangely given its way less far. I guess it's just as hard cardio wise,http://www.mapmyfitness.com/workout/3823746979,75.1458003169572
2019-10-03,467,5.53792973184,2022,6.085299351785572,4.02265146544182,9.85982304384,5405.0,"Decent time I think, I felt sick halfway round and had to slow it. Something is weighing heavy on me, slight stitch.",http://www.mapmyfitness.com/workout/3827627407,75.1378763866878
2019-10-04,503,5.97979122048,2167,6.0397901256661095,4.044660433070866,9.934110362879998,5798.0,"Ran to the point of feeling sick! Woman sped me up by running behind me at Ovingdean, but I went too hard on that stretch meaning it was a tough last 10 min.",http://www.mapmyfitness.com/workout/3829318096,75.13391442155309
2019-10-07,380,4.4358348672000005,1685,6.331026803467749,3.635754692595244,9.47715322752,4486.0,"Fine, good breath control I think.",http://www.mapmyfitness.com/workout/3834895384,75.12202852614897
2019-10-10,478,5.5328442048,2149,6.473445080728545,4.401948868607333,9.268614432,5709.0,"Well done for getting out there and doing it after a couple of days off. Kept slow and steady pace monitoring breathing, could probably have pushed a little harder",http://www.mapmyfitness.com/workout/3840640966,75.11014263074485
2019-10-11,372,4.39381489536,1619,6.14121654537501,3.734521643601368,9.77005383552,4324.0,"Overbreathed on the big hill, which made it hard from there. But overall OK. Windy and wet.",http://www.mapmyfitness.com/workout/3842264713,75.10618066561014
2019-10-11,447,5.3150194944,1728,5.417921836474986,4.166666666666666,11.07436277376,4679.0,,http://www.mapmyfitness.com/workout/3842960596,75.10618066561014
2019-10-13,507,5.963295444480001,2226,6.221416925157082,4.432377415891195,9.6441548544,5937.0,"Hard and a bit slow. Haven't done that hill in a little while, perhaps that's why.",http://www.mapmyfitness.com/workout/3845249404,75.09825673534073
2019-10-14,471,5.565739196160001,2050,6.13875591545375,3.152377614729977,9.77396454144,5475.0,"Good run, a Little it too wet for the route, was slipping asdjll over",http://www.mapmyfitness.com/workout/3847534381,75.09429477020602
2019-10-16,505,6.01229996928,2165,6.001582011055436,4.153120774675893,9.99735758208,5796.0,"Very good, paced myself nicely at the beginning so I enjoyed most of it, then was able to press at the end. Decent time I think.",http://www.mapmyfitness.com/workout/3851562223,75.0863708399366
2019-10-17,394,4.637163801600001,1724,6.196319742702616,3.315431629284976,9.68316535296,4600.0,Hard on wa back because if wind.,http://www.mapmyfitness.com/workout/3852755329,75.0824088748019
2019-10-18,478,5.55345990144,2130,6.392418277260797,3.942053408096715,9.38614482432,5665.0,OK but strong winds on way back down hill probably slowed me,http://www.mapmyfitness.com/workout/3854390068,75.07844690966719
2019-10-20,532,6.447820642560001,2212,5.717696154457965,2.522468782311302,10.49374364544,5953.0,"It was good, best time yet, the ramp up killed me a bit, maybe take that slower then won't have to be so slow on way back.",http://www.mapmyfitness.com/workout/3857995114,75.07052297939778
2019-10-21,534,6.4162935936,2257,5.86267448103078,3.861554770142369,10.23423692544,6058.0,"Similar to yesterday's run, but with a bit more elevation I think. Perhaps not quite so far. But mainly slower cus of the elevation.",http://www.mapmyfitness.com/workout/3859617628,75.06656101426307
2019-10-23,460,5.95299564288,2099,5.876586982024974,4.475177463612503,10.210000204799998,5632.0,"Good I think. Think I made decent time and still seeing progression, not actually that knackered.",http://www.mapmyfitness.com/workout/3863424784,75.05863708399366
2019-10-24,499,6.432065164800001,2301,5.962317565417959,2.57113457408733,10.06319584512,6165.0,Hard. Stamina gone by Lustrells.,http://www.mapmyfitness.com/workout/3865045456,75.05467511885895
2019-10-25,462,6.003625605120001,2096,5.818700041756144,4.215344885866539,10.31158199808,5630.0,"Decent, strong winds on 2nd leg probably slowed us down a bit.

I enjoyed running with no music and trying to be mindful. Probably good for my mental health.",http://www.mapmyfitness.com/workout/3866504965,75.05071315372425
2019-10-31,350,4.35543204096,1698,6.497616420106577,3.80615952835441,9.23414228352,4509.0,"Felt sick and stitch, bad food, 5 days rest.",http://www.mapmyfitness.com/workout/3876200647,75.026941362916
2019-11-01,465,5.970585772800001,2152,6.007224061480951,4.195206245526127,9.98797510656,5761.0,Rly hard. Guess being ill and eating bad make a bid difference,http://www.mapmyfitness.com/workout/3877035337,75.0229793977813
2019-11-04,522,6.502763646720001,2534,6.4946959755030615,3.2766269983297542,9.23834267136,6729.0,"Not too bad at all, obvs a bit slow cuz I didn't know where I was going but didn't feel unfit even on raven Hill Road the big hill at end",http://www.mapmyfitness.com/workout/3882378064,75.01109350237718
2019-11-06,545,6.8433330240000005,2614,6.366320687186828,2.3754150759564143,9.4246403328,6956.0,"Not bad, felt OK considering I just ate.",http://www.mapmyfitness.com/workout/3885676675,75.00316957210777
2019-11-08,539,7.012394611200001,2446,5.813517806012885,3.023045414777698,10.32077135232,6571.0,"Good I think, longest yet since to a bit of wrong going.",http://www.mapmyfitness.com/workout/3889083034,74.99524564183835
2019-11-09,479,6.093314346240001,2250,6.154290195259684,3.916713890877277,9.74929329792,6008.0,"fine, I took it a bit easy but fine, last one in that route sadly.",http://www.mapmyfitness.com/workout/3890344729,74.99128367670365
2019-11-11,443,5.5924543065600005,2107,6.279328720273602,4.527360216336594,9.55520641152,5614.0,"bad, perhaps the weekends exploits, but I felt some pain in chest.",http://www.mapmyfitness.com/workout/3892957342,74.98335974643423
2019-11-12,425,5.5192291545600005,1929,5.825093951324266,4.510030173785095,10.30025221632,5181.0,,http://www.mapmyfitness.com/workout/3895138798,74.97939778129953
2019-11-14,430,5.46793936128,2025,6.172353455818022,4.390515638670166,9.72077572224,5405.0,"it was good, I tried to take it easy as I havent ate anything yet.",http://www.mapmyfitness.com/workout/3897780301,74.97147385103011
2019-11-15,348,4.520196679680001,1578,5.818339646464646,4.244654965004374,10.31222573568,4239.0,fine did less but quicker I think.,http://www.mapmyfitness.com/workout/3899277352,74.9675118858954
2019-11-19,419,5.49367277184,1881,5.706573610116917,4.480521255865744,10.51419840768,5064.0,found it a struggle but a good time I think so every cloud,http://www.mapmyfitness.com/workout/3905250817,74.95166402535658
2019-11-20,572,7.56541348992,2516,5.542767736419312,4.616185228266921,10.824914453759998,6795.0,"good run, good time, good feeling, probably helped having so much chocolate and flap jacks earlier",http://www.mapmyfitness.com/workout/3906987547,74.94770206022187
2019-11-22,406,5.368594556160001,1787,5.547695209973753,4.218103773960073,10.81529057664,4826.0,"good run, I hit the hill hard so was gasping but good speed I think. finding new low impact faster running technique",http://www.mapmyfitness.com/workout/3909608746,74.93977812995246
2019-11-26,453,5.919553474560001,2034,5.7267868150003975,3.4412965779845703,10.47708693504,5473.0,"ok, slight stitch from poor eating/digestion",http://www.mapmyfitness.com/workout/3915492256,74.92393026941363
2019-11-27,411,5.3786368627200005,1840,5.701559144595562,4.309109798775153,10.52343604224,4954.0,,http://www.mapmyfitness.com/workout/3924808453,74.91996830427892
2019-12-03,421,5.4706430592,1911,5.8219808816511565,4.426791288872981,10.30577226624,5133.0,"animal products!! made it hard, could feel it in my heart",http://www.mapmyfitness.com/workout/3924854365,74.89619651347068
2019-12-04,418,5.526535576320001,1839,5.545974011771256,4.194777499403483,10.8186541056,4967.0,fucking cold bit glad I made myself do it. I can feel good about myself,http://www.mapmyfitness.com/workout/3926291596,74.89223454833598
2019-12-12,305,3.83429426688,1461,6.350599996023224,4.673115256899705,9.44795972736,3889.0,"felt slow, fat and gross. but well done for breaking the slump and getting back out there. let's get a good run in before xmas.",http://www.mapmyfitness.com/workout/3936413929,74.86053882725832
2019-12-13,299,3.84071554944,1383,6.0014888053766,3.948894704923248,9.99751851648,3703.0,"harsh winds, hard day out but good well done mate",http://www.mapmyfitness.com/workout/3937471726,74.85657686212362
2019-12-16,347,4.40942553216,1637,6.187496271772846,4.794382058776744,9.69697352448,4369.0,"it was ok, still tough but hey ho. what can you do apart from keep going and know it will get easier.",http://www.mapmyfitness.com/workout/3940540183,74.8446909667195
2019-12-22,331,4.1960426112,1563,6.208231428457806,4.8016645291497655,9.6645935232,4170.0,"back on the wagon, the agony wagon. today's mantra, no room for weakness. no room for softness.",http://www.mapmyfitness.com/workout/3947183077,74.82091917591126
2019-12-23,449,5.92747144704,1991,5.5982251153264935,4.442331782390837,10.71768386304,5371.0,"good one, well done mate, good distance, not a bad time, good calories burnt. good day!",http://www.mapmyfitness.com/workout/3948413626,74.81695721077655
2019-12-24,455,5.893900531200001,2076,5.8704789032052815,3.860883689254752,10.2206218752,5571.0,"good stuff, obvs a bit slow cuz of wind and stop seeing Phil. but I pushed quite well at the end. feeling good now",http://www.mapmyfitness.com/workout/3949517698,74.81299524564184
2019-12-25,952,12.336796581120002,4352,5.879432862085421,4.709751302394019,10.20505951872,11677.0,"probably the furthest ever! merey xmas mate, well done, not too slow either, but the club on first half of run is anduxking killer! but wow, two runs worth in a day",http://www.mapmyfitness.com/workout/3950569291,74.80903328050714
2019-12-26,459,6.03249723648,2042,5.641671389087728,3.6136214507277495,10.63515670272,5504.0,"decent time I think, felt reasonably fast. good effort as you did some weights beforehand too, or maybe they primed you a little. either way good run, now just make sure to eat well.",http://www.mapmyfitness.com/workout/3951690373,74.80507131537243
2019-12-27,486,6.414281913600001,2114,5.4929524079376435,4.4104678676529065,10.923084437759998,5716.0,"good one, obvs the ramp was a killer do way back seemed a lot slower, but I think it was a decent time overall and an enjoyable run, nice views",http://www.mapmyfitness.com/workout/3952970695,74.80110935023772
2019-12-29,476,5.940378385920001,2301,6.455798138869005,3.818729867573371,9.293945506559998,6114.0,"good, forgot to end it so take away a couple of minutes",http://www.mapmyfitness.com/workout/3955744855,74.79318541996831
2019-12-30,488,6.41286569088,2179,5.663090054084149,4.6435193470134415,10.59492310272,5871.0,"it was ok, considering no breakfast today. maybe only < 5% slower than should be.nice views, enjoyable run",http://www.mapmyfitness.com/workout/3956909740,74.7892234548336
2020-01-04,477,6.011929820160001,2277,6.312447804819851,5.086749632148254,9.50501097216,6064.0,"rest, animals products and knees. that's the reason so slow and such a struggle, but at least next one will be easier",http://www.mapmyfitness.com/workout/3964082317,74.76941362916007
2020-01-05,311,3.80677448448,1551,6.790530800127256,5.316936590312574,8.83584573696,4101.0,ok. slow because I have to take care of knees.,http://www.mapmyfitness.com/workout/3966031552,74.76545166402536
2020-01-06,505,6.4256760691200006,2382,6.17834347411119,4.8872273423208465,9.7113449664,6358.0,"slow, careful of knees still, but also a bit slow, you're fat, but not bad.",http://www.mapmyfitness.com/workout/3967222144,74.76148969889066
2020-01-07,577,7.534739393280001,2599,5.748920056867891,3.9610611528672552,10.436740680959998,6991.0,"not bad, had to take care of legs a little bit slow but overall I'm quite happy, considering my major transgression last night",http://www.mapmyfitness.com/workout/3969557311,74.75752773375595
2020-01-15,144,1.8868753728,642,5.67073913346059,3.9446072436968103,10.580632127999998,1729.0,,http://www.mapmyfitness.com/workout/3982209301,74.72583201267828
2020-01-15,148,1.90269522432,686,6.009013610514594,4.867765996579973,9.98499782016,1836.0,good little run to Tesco's and back,http://www.mapmyfitness.com/workout/3982230331,74.72583201267828
2020-01-16,584,7.56325696896,2672,5.888113417640977,4.485417660860574,10.19001215232,7168.0,"wind slowed us down on way back, or maybe I was tired. first half was much quicker.",http://www.mapmyfitness.com/workout/3983955250,74.72187004754358
2020-01-18,401,5.29446817152,1767,5.562409279805933,3.7381939473474906,10.786692533759998,4771.0,,http://www.mapmyfitness.com/workout/3989980540,74.71394611727416
2020-01-25,551,7.07758913664,3331,7.844003519446432,4.273828342479917,7.64914765824,8695.0,"Haha so slow, but at least I did it, hope my leg is better",http://www.mapmyfitness.com/workout/3999253426,74.68621236133121
2020-01-27,374,4.75129847808,1767,6.198314344229699,3.956978744134256,9.68005931904,4715.0,"hard up that hill, probs no breakfast dodnt help but didnt enjoy so much",http://www.mapmyfitness.com/workout/4001688853,74.6782884310618
2020-01-29,308,4.06975738752,1355,5.549062226596676,2.89418545693152,10.81263515904,3659.0,"It was fine, hopefully my knee is ok, nice harbour route, annoying people at that time",http://www.mapmyfitness.com/workout/4005116965,74.67036450079239
2020-02-05,499,6.28724029824,2381,6.311702159389167,4.168157957528036,9.506105326079998,6341.0,"good one, decent distance and tough uphill section, enjoyed the views and light ",http://www.mapmyfitness.com/workout/4017084931,74.64263074484944
2020-02-07,330,4.36539388032,1446,5.520696631671041,4.162242503777937,10.86818971392,3907.0,"not bad, nice area, not too long but fine, still looking after the knee",http://www.mapmyfitness.com/workout/4020131224,74.63470681458003
2020-02-10,358,4.6802137536,1608,5.726233794639306,3.690683905989024,10.47808472832,4327.0,"nice one, not too hard or furious so I enjoyed it",http://www.mapmyfitness.com/workout/4025026390,74.62282091917591
2020-02-12,347,4.53836617344,1565,5.747304491768074,4.614867921339378,10.43966968704,4210.0,"very nice thanks, chilled then ran up hill at end",http://www.mapmyfitness.com/workout/4028642908,74.6148969889065
2020-02-14,731,9.3364482816,3413,6.092612890718206,3.9132714944722817,9.847994365439998,9123.0,good long run and I enjoyed it too.,http://www.mapmyfitness.com/workout/4031121304,74.60697305863708
2020-02-20,696,8.69452924032,3369,6.458097212280283,4.026820866141732,9.29067853824,8952.0,ok on distance poor on speed but that's fine distance is more important now,http://www.mapmyfitness.com/workout/4040787853,74.58320126782884
2020-02-21,733,9.39469044096,3411,6.051297920146345,3.5577912491052257,9.915232757759998,9124.0,"fantastic run, kept decent pace i think, while still being easy on knee downhill. good run!",http://www.mapmyfitness.com/workout/4042138000,74.57923930269413
2020-02-26,465,5.864111573760001,2214,6.292501789549033,4.099589646464646,9.53513789184,5898.0,"ok, too much phlegm",http://www.mapmyfitness.com/workout/4050336109,74.5594294770206
2020-02-29,720,9.20523846528,3367,6.096173347649726,4.239329813886901,9.84224900736,8999.0,"nice run, not bad. slightly tired but probs due to low food. low food equals go slower simple as that",http://www.mapmyfitness.com/workout/4055305693,74.54754358161648
2020-03-02,359,4.74577842816,1584,5.562831812216655,3.8188168595402847,10.785871768319998,4276.0,"good little run, it was nice to be doing it at night, when its quiet. good energy levels too.",http://www.mapmyfitness.com/workout/4059572032,74.53961965134707
2020-03-04,533,6.840516672,2468,6.013183011214507,4.596214358148413,9.97807764096,6606.0,"Decent, I almost got killed by a speeding motorbike, but apart from that a decent run and good fun.",http://www.mapmyfitness.com/workout/4062796015,74.53169572107765
2020-03-10,542,6.93125148672,2533,6.090773631989182,4.0711059910124865,9.8509555584,6771.0,"decent run, lsts get back on this!",http://www.mapmyfitness.com/workout/4073851423,74.50792393026941
2020-03-12,804,10.26003470976,3761,6.109464477451682,4.158657191998727,9.82082863872,10050.0,"Good one bro, good distance and not too slow, but also not too hard, never were you in any trouble really, which is good.",http://www.mapmyfitness.com/workout/4076925340,74.5
2020-03-16,772,9.79081437312,3650,6.213308031098385,4.379958542114054,9.65669164416,9736.0,"decent one, harder because of lack of food and bad food in precious days",http://www.mapmyfitness.com/workout/4083077497,74.13636363636364
2020-03-17,492,6.49325242368,2111,5.418450001988388,4.16588995267637,11.07326841984,5717.0,"good run mate boy, even with possible SARS you put in a really good time there. just goes to show, consistency pays.",http://www.mapmyfitness.com/workout/4085140654,74.04545454545455
2020-03-21,453,5.986486091520001,1969,5.481798795036984,4.224441760120894,10.94532557184,5325.0,good nice outside today,http://www.mapmyfitness.com/workout/4093913320,73.68181818181819
2020-03-22,426,5.551126352640001,1933,5.803619362920545,4.138369422572178,10.33837757568,5194.0,"nice and enjoyable route, when its dru like it was and with the sun setting it was gorgeous",http://www.mapmyfitness.com/workout/4096259509,73.5909090909091
2020-03-23,335,4.3964381260800005,1500,5.686428756064583,4.194435745247753,10.55143862784,4040.0,"decent one, defo getting fitter, I f I look back to what I was in October last year wow.",http://www.mapmyfitness.com/workout/4098330157,73.5
2020-03-24,487,6.4277682163200005,2088,5.414013411675813,4.088498170683209,11.08234512,5655.0,"it was good, decent distance, nice weather",http://www.mapmyfitness.com/workout/4100747602,73.42857142857143
2020-03-25,424,5.60487844224,1872,5.566572466793923,4.345124473077229,10.77862972032,5054.0,decent. fairly tough but oh well that's life. great weather,http://www.mapmyfitness.com/workout/4103478412,73.35714285714286
2020-03-26,457,6.03257770368,2001,5.528314642487871,3.460136552533206,10.85322281472,5406.0,"decent run thanks, not too hard but not too slow, I think I paced about right",http://www.mapmyfitness.com/workout/4106911588,73.28571428571429
2020-03-27,485,6.403129159680001,2113,5.499911765290702,4.352636850791378,10.909260172799998,5712.0,"good run, I felt that was quite quick while being not too amazingly difficult, well paced on ramp up",http://www.mapmyfitness.com/workout/4110110158,73.21428571428571
2020-03-28,834,10.4962220352,3987,6.330840392110076,4.522351964527161,9.47739462912,10615.0,"good distance and fairly enjoyable. but slow because wind in face on first half, knees starting to feel dodge on way back.",http://www.mapmyfitness.com/workout/4112874448,73.14285714285714
2020-03-29,1003,12.640914316800002,4784,6.307538972401177,4.6039939254752245,9.51239786112,12742.0,good but may have harmed my knees.,http://www.mapmyfitness.com/workout/4115026609,73.07142857142857
2020-03-30,341,4.39626109824,1633,6.19085788992285,4.898753777936848,9.6917109696,4358.0,"I think I took it easy because of knee. but still glad I did it, even if was slow",http://www.mapmyfitness.com/workout/4117927984,73.0
2020-03-31,481,6.4307294092800005,2103,5.450394694981308,4.041019197884355,11.00837966976,5691.0,decent run I think. not bad pace. lively weather. slightly bad knee.,http://www.mapmyfitness.com/workout/4121021080,72.98360655737704
2020-04-01,836,10.31237057664,4257,6.880070388928656,4.392659369283385,8.72082592128,11242.0,bad knee forced me to slow at probably furthest point,http://www.mapmyfitness.com/workout/4124432413,72.9672131147541
2020-04-02,444,5.95133801856,1966,5.5057712956335,4.351574306052653,10.897656802559998,5314.0,"good work, knee wasnt too bad although I felt it at one point. maybe I should duck to small runs, good pace there",http://www.mapmyfitness.com/workout/4127800918,72.95081967213115
2020-04-03,421,5.5773425664000005,1920,5.737493040642646,4.511167283066889,10.45753340544,5166.0,"not bad, decent run. felt a bit heavy but not bad knee pain",http://www.mapmyfitness.com/workout/4131182332,72.93442622950819
2020-04-04,447,5.989012761600001,1964,5.465568579495745,4.189272150640261,10.977818227199998,5313.0,"harder than usual probably because of low calories today, loss of energy after hill. slight knee discomfort towards end.",http://www.mapmyfitness.com/workout/4134164173,72.91803278688525
2020-04-05,476,6.38355953664,2026,5.289633540125666,4.276220621570031,11.34294619392,5502.0,"goid time, had to push in way back against wind and stamina resistance. maybe the wind is damaging my ears??",http://www.mapmyfitness.com/workout/4137463867,72.90163934426229
2020-04-06,435,5.696675424,2026,5.927440000397677,4.293364252763859,10.12241970432,5431.0,"not bad surprisingly tough run though actually, not that quick. more knee pain",http://www.mapmyfitness.com/workout/4140786286,72.88524590163935
2020-04-07,478,6.39281326464,2090,5.448822625864949,4.462756253479679,11.01155007744,5656.0,"not too bad, bit low, bit tired I guess.",http://www.mapmyfitness.com/workout/4144246618,72.8688524590164
