Date,Weight
2015-05-22,79.8
2016-09-27,79.5
2020-03-12,74.5
2020-03-23,73.5
2020-03-30,73.0
2020-05-30,72.0
2020-07-03,71.0
2020-08-19,72.2
2020-09-14,71.7
2020-09-15,70.2
2020-09-16,70.8
2020-09-18,70.3
2020-09-19,69.8
2020-09-25,72.0
2020-09-26,71.0
2020-11-02,71.5
2021-01-02,73.0
2021-01-08,71.3
2021-03-05,70.5
2021-03-11,70.0
2021-03-25,69.0
2021-06-06,72.0
2024-01-14,78.0
2024-02-17,85.3
2024-10-04,83.4
2024-12-11,86.0
2024-12-12,85.5
2025-01-08,92.0
2025-01-15,90.0
2025-01-22,89.2
2025-05-05,83.8
